id;active;created_at;updated_at
1;true;2023-10-10T23:29:56;2023-10-10T23:22:06
2;false;2023-10-11T12:38:45;2023-10-11T19:08:48
3;false;2023-10-11T09:33:35;2023-10-11T14:04:30
4;false;2023-10-10T20:20:52;2023-10-11T15:02:16
5;false;2023-10-11T09:56:19;2023-10-11T17:51:31
6;false;2023-10-10T21:42:01;2023-10-11T12:41:17
7;true;2023-10-10T20:41:50;2023-10-11T13:11:02
8;false;2023-10-11T13:47:57;2023-10-11T12:38:19
9;true;2023-10-11T14:01:10;2023-10-10T22:56:09
10;false;2023-10-11T03:05:52;2023-10-11T03:44:17
