id;start_date;end_date;language
1;2023-10-11T02:53:14;2023-10-11T11:30:14;KAMBA
2;2023-10-11T16:16:06;2023-10-11T04:50:53;KAMBA
3;2023-10-11T08:26:15;2023-10-11T18:54:08;SWAHILI
4;2023-10-11T07:54:23;2023-10-11T12:15:01;KAMBA
5;2023-10-11T14:32:17;2023-10-11T16:07:32;SWAHILI
6;2023-10-11T08:54:32;2023-10-11T06:48:03;KIKUYU
7;2023-10-11T15:46:02;2023-10-11T08:39:29;SWAHILI
8;2023-10-11T04:37:14;2023-10-10T20:15:42;SWAHILI
9;2023-10-10T21:50:01;2023-10-11T03:17:52;KIKUYU
10;2023-10-11T04:22:26;2023-10-11T16:45:31;ENGLISH
