id;active;created_at;updated_at
1;false;2023-10-11T16:07:14;2023-10-11T18:55:53
2;true;2023-10-11T19:14:01;2023-10-11T00:52:58
3;true;2023-10-11T08:46:29;2023-10-11T09:12:21
4;true;2023-10-11T07:47:15;2023-10-11T05:56:48
5;true;2023-10-11T18:56:28;2023-10-10T22:23:45
6;false;2023-10-10T23:02:20;2023-10-11T17:25:37
7;true;2023-10-11T07:47:18;2023-10-11T01:30:45
8;false;2023-10-10T23:23:41;2023-10-11T15:22:36
9;false;2023-10-11T14:57:48;2023-10-11T04:49:21
10;false;2023-10-10T22:50:09;2023-10-11T03:27:40
