id;active;created_at;updated_at
1;true;2023-10-10T23:41:01;2023-10-11T14:54:06
2;true;2023-10-11T12:32:19;2023-10-10T22:29:02
3;false;2023-10-11T07:41:02;2023-10-11T05:48:14
4;true;2023-10-11T10:29:15;2023-10-10T20:52:14
5;false;2023-10-11T14:38:46;2023-10-11T18:58:40
6;false;2023-10-11T14:56:11;2023-10-11T13:05:30
7;true;2023-10-11T10:09:36;2023-10-11T06:31:46
8;true;2023-10-11T13:16:02;2023-10-11T01:20:12
9;true;2023-10-11T11:20:05;2023-10-11T06:42:18
10;false;2023-10-11T14:52:26;2023-10-11T06:12:22
